Дата,Время,АЦП,Гироскоп,Микрофон
2025-03-17,23:26:26,0,0,-1
2025-03-17,23:26:26,0,0,-1
2025-03-17,23:26:26,0,0,-1
2025-03-17,23:26:26,0,0,-1
2025-03-17,23:26:27,0,0,-1
2025-03-17,23:26:27,0,0,-1
2025-03-17,23:26:27,0,0,-1
2025-03-17,23:26:27,0,0,-1
2025-03-17,23:26:27,0,0,-1
2025-03-17,23:26:28,0,0,-1
2025-03-17,23:26:28,0,0,-1
2025-03-17,23:26:28,0,0,-1
2025-03-17,23:26:28,0,0,-1
2025-03-17,23:26:28,0,0,-1
2025-03-17,23:26:29,0,0,-1
2025-03-17,23:26:29,0,0,-1
2025-03-17,23:26:29,0,0,-1
2025-03-17,23:26:29,0,0,-1
2025-03-17,23:26:29,0,0,-1
2025-03-17,23:26:30,0,0,-1
2025-03-17,23:26:30,0,0,-1
2025-03-17,23:26:30,0,0,-1
2025-03-17,23:26:30,0,0,-1
2025-03-17,23:26:31,0,0,-1
2025-03-17,23:26:31,0,0,-1
2025-03-17,23:26:31,0,0,-1
2025-03-17,23:26:38,0,0,-1
2025-03-17,23:26:38,0,0,-1
2025-03-17,23:26:38,0,0,-1
2025-03-17,23:26:38,0,0,-1
2025-03-17,23:26:39,0,0,-1
2025-03-17,23:26:39,0,0,-1
2025-03-17,23:26:40,0,0,-1
2025-03-17,23:26:40,0,0,-1
2025-03-17,23:26:40,0,0,-1
2025-03-17,23:26:41,0,0,-1
2025-03-17,23:26:41,0,0,-1
2025-03-17,23:26:41,0,0,-1
2025-03-17,23:26:41,0,0,-1
2025-03-17,23:26:42,0,0,-1
2025-03-17,23:26:42,0,0,-1
2025-03-17,23:26:42,0,0,-1
2025-03-17,23:26:42,0,0,-1
2025-03-17,23:26:43,0,0,-1
2025-03-17,23:26:43,0,0,-1
2025-03-17,23:26:43,0,0,-1
2025-03-17,23:26:43,0,0,-1
2025-03-17,23:26:43,0,0,-1
2025-03-17,23:26:44,0,0,-1
2025-03-17,23:26:44,0,0,-1
2025-03-17,23:26:44,0,0,-1
2025-03-17,23:26:44,0,0,-1
2025-03-17,23:26:45,0,0,-1
2025-03-17,23:26:45,0,0,-1
2025-03-17,23:26:45,0,0,-1
2025-03-17,23:26:45,0,0,-1
2025-03-17,23:26:45,0,0,-1
2025-03-17,23:26:46,0,0,-1
2025-03-17,23:26:46,0,0,-1
2025-03-17,23:26:46,0,0,-1
2025-03-17,23:26:46,0,0,-1
2025-03-17,23:26:46,0,0,-1
2025-03-17,23:26:47,0,0,-1
2025-03-17,23:26:47,0,0,-1
2025-03-17,23:26:47,0,0,-1
2025-03-17,23:26:48,0,0,-1
2025-03-17,23:26:48,0,0,-1
2025-03-17,23:26:48,0,0,-1
2025-03-17,23:26:48,0,0,-1
2025-03-17,23:26:48,0,0,-1
2025-03-17,23:26:49,0,0,-1
2025-03-17,23:26:49,0,0,-1
2025-03-17,23:26:49,0,0,-1
2025-03-17,23:26:49,0,0,-1
2025-03-17,23:26:50,0,0,-1
2025-03-17,23:26:50,0,0,-1
2025-03-17,23:26:50,0,0,-1
2025-03-17,23:26:50,0,0,-1
2025-03-17,23:26:50,0,0,-1
2025-03-17,23:26:51,0,0,-1
2025-03-17,23:26:51,0,0,-1
2025-03-17,23:26:51,0,0,-1
2025-03-17,23:26:51,0,0,-1
2025-03-17,23:26:52,0,0,-1
2025-03-17,23:26:52,0,0,-1
2025-03-17,23:26:52,0,0,-1
2025-03-17,23:26:52,0,0,-1
2025-03-17,23:26:55,0,0,-1
2025-03-17,23:26:55,0,0,-1
2025-03-17,23:26:56,0,0,-1
2025-03-17,23:26:56,0,0,-1
2025-03-17,23:26:56,0,0,-1
2025-03-17,23:26:56,0,0,-1
2025-03-17,23:26:56,0,0,-1
2025-03-17,23:26:57,0,0,-1
2025-03-17,23:26:57,0,0,-1
2025-03-17,23:26:57,0,0,-1
2025-03-17,23:26:57,0,0,-1
2025-03-17,23:26:58,0,0,-1
2025-03-17,23:26:58,0,0,-1
2025-03-17,23:27:05,0,0,-1
2025-03-17,23:27:05,0,0,-1
2025-03-17,23:27:05,0,0,-1
2025-03-17,23:27:06,0,0,-1
2025-03-17,23:27:06,0,0,-1
2025-03-17,23:27:06,0,0,-1
2025-03-17,23:27:06,0,0,-1
2025-03-17,23:27:07,0,0,-1
2025-03-17,23:27:07,0,0,-1
2025-03-17,23:27:10,0,0,-1
2025-03-17,23:27:10,0,0,-1
2025-03-17,23:27:10,0,0,-1
2025-03-17,23:27:10,0,0,-1
2025-03-17,23:27:11,0,0,-1
2025-03-17,23:27:11,0,0,-1
2025-03-17,23:27:14,0,0,-1
2025-03-17,23:27:14,0,0,-1
2025-03-17,23:27:14,0,0,-1
2025-03-17,23:27:14,0,0,-1
2025-03-17,23:27:15,0,0,-1
2025-03-17,23:27:15,0,0,-1
2025-03-17,23:27:15,0,0,-1
2025-03-17,23:27:15,0,0,-1
2025-03-17,23:27:16,0,0,-1
2025-03-17,23:27:16,0,0,-1
2025-03-17,23:27:16,0,0,-1
2025-03-17,23:27:16,0,0,-1
2025-03-17,23:27:16,0,0,-1
2025-03-17,23:27:18,0,0,-1
2025-03-17,23:27:18,0,0,-1
2025-03-17,23:27:18,0,0,-1
2025-03-17,23:27:21,0,0,-1
2025-03-17,23:27:21,0,0,-1
2025-03-17,23:27:21,0,0,-1
2025-03-17,23:27:22,0,0,-1
